corruption_levels,cross_margin
0.0,"(0.43991832937630904,)"
0.0,"(0.5910896144290286,)"
0.0,"(0.4313197182703948,)"
0.0,"(0.5688050339578582,)"
0.0,"(0.4162730202508902,)"
0.0,"(0.5746242106893079,)"
0.0,"(0.540055561503552,)"
0.0,"(0.5484040241878082,)"
0.0,"(0.5442169743075917,)"
0.0,"(0.2808870707859479,)"
0.0,"(0.3638953840286055,)"
0.0,"(0.5245918974781844,)"
0.0,"(0.5775519211077766,)"
0.0,"(0.5704720299153851,)"
0.0,"(0.5457359910992332,)"
0.0,"(0.5586773614920305,)"
0.0,"(0.5169996177244215,)"
0.0,"(0.5404742001956065,)"
0.0,"(0.5782077872491712,)"
0.0,"(0.5164606823480886,)"
0.0,"(0.5938412790053154,)"
0.0,"(0.43481321107482745,)"
0.0,"(0.5162125903051787,)"
0.0,"(0.5017927745654286,)"
0.0,"(0.5301856419056706,)"
0.0,"(0.5804905055807114,)"
0.0,"(0.5592603205407999,)"
0.0,"(0.5227448957132474,)"
0.0,"(0.5580540711858514,)"
0.0,"(0.48036122266583436,)"
0.0,"(0.5306003936570478,)"
0.0,"(0.49574237835998136,)"
0.0,"(0.5547469497194871,)"
0.0,"(0.5806810968074745,)"
0.0,"(0.527732930755933,)"
0.0,"(0.5744034517835643,)"
0.0,"(0.5482979794296199,)"
0.0,"(0.5388441243528125,)"
0.0,"(0.5251991354920403,)"
0.0,"(0.48605982072171516,)"
0.0,"(0.5663963069269832,)"
0.0,"(0.5842500076137424,)"
0.0,"(0.4438024940006783,)"
0.0,"(0.5632787055413689,)"
0.0,"(0.45956526143078275,)"
0.0,"(0.5255578158119873,)"
0.0,"(0.5560533949433533,)"
0.0,"(0.5775534931826836,)"
0.0,"(0.4751470705813562,)"
0.0,"(0.5203833760149177,)"
0.0,"(0.5648260782145679,)"
0.0,"(0.5145353574038398,)"
0.0,"(0.5688051985732211,)"
0.0,"(0.5219868665715036,)"
0.0,"(0.560218443759004,)"
0.0,"(0.5454495064189342,)"
0.0,"(-0.4555086466249748,)"
0.0,"(0.5626943011865309,)"
0.0,"(0.5869870488333822,)"
0.0,"(0.5818864255379282,)"
0.0,"(0.4728309138862452,)"
0.0,"(0.5717247555834224,)"
0.0,"(0.5513399284763744,)"
0.0,"(0.5828356445686876,)"
0.0,"(0.5815118676614561,)"
0.0,"(0.1438671497851144,)"
0.0,"(0.5345787845340287,)"
0.0,"(0.5907684807819837,)"
0.0,"(0.4702981573673801,)"
0.0,"(0.5666649782801669,)"
0.0,"(0.4731857167495019,)"
0.0,"(0.5540495089882549,)"
0.0,"(0.5660919101806116,)"
0.0,"(0.42059278677256134,)"
0.0,"(0.4931858780427125,)"
0.0,"(0.4715547227458716,)"
0.0,"(0.512786295105454,)"
0.0,"(0.4314912214757279,)"
0.0,"(0.5771031312456731,)"
0.0,"(0.5552098410934923,)"
0.0,"(0.5087714755564897,)"
0.0,"(0.553136016835366,)"
0.0,"(0.5350462844156592,)"
0.0,"(0.5455175449428864,)"
0.0,"(0.5755291955586113,)"
0.0,"(0.580087980111202,)"
0.0,"(0.5353171700109844,)"
0.0,"(0.5008689342227912,)"
0.0,"(-0.15467487776122063,)"
0.0,"(0.4837700403696018,)"
0.0,"(0.541431679918252,)"
0.0,"(0.5765798195129642,)"
0.0,"(0.47628796379778277,)"
