corruption_levels,cross_margin
0.0,"(0.13540221122017226,)"
0.0,"(0.14459959995775465,)"
0.0,"(0.3326559471229573,)"
0.0,"(0.23690341545548715,)"
0.0,"(0.027308655402185723,)"
0.0,"(0.3288631214832166,)"
0.0,"(-0.26249763724481096,)"
0.0,"(0.33377658032789725,)"
0.0,"(0.24181646993613834,)"
0.0,"(-0.04705517508218671,)"
0.0,"(-0.04965817974865739,)"
0.0,"(0.03331440598280866,)"
0.0,"(0.11108576434099675,)"
0.0,"(0.19029198335934858,)"
0.0,"(-0.025440990678234333,)"
0.0,"(0.5923021703867872,)"
0.0,"(0.26134469129519844,)"
0.0,"(0.2287443000591155,)"
0.0,"(0.008981986544148059,)"
0.0,"(0.108875795219763,)"
0.0,"(0.4952330203250943,)"
0.0,"(-0.009926974967901186,)"
0.0,"(0.27474377756685103,)"
0.0,"(0.1503459875369174,)"
0.0,"(0.5404631695492003,)"
0.0,"(0.016209080042331313,)"
0.0,"(0.26226518370691393,)"
0.0,"(0.5183077703433517,)"
0.0,"(0.2354027437989258,)"
0.0,"(0.33565755521230095,)"
0.0,"(0.35754167306229706,)"
0.0,"(-0.1649168655199318,)"
0.0,"(0.19253434651484988,)"
0.0,"(0.3359211882955009,)"
0.0,"(0.33693070022030763,)"
0.0,"(0.32546102695429185,)"
0.0,"(0.2836117299512324,)"
0.0,"(0.3152522927878067,)"
0.0,"(0.10158843195335437,)"
0.0,"(0.4360994775786525,)"
0.0,"(-0.3102818746042925,)"
0.0,"(0.2505574548090989,)"
0.0,"(0.2829077155671821,)"
0.0,"(0.3453556059854778,)"
0.0,"(0.21030084924892825,)"
0.0,"(0.30995030769696247,)"
0.0,"(0.3193449980059456,)"
0.0,"(0.32455164609915854,)"
0.0,"(0.31674081275980714,)"
0.0,"(0.2754064635972949,)"
0.0,"(0.2392209177996956,)"
0.0,"(0.2217441581218542,)"
0.0,"(0.28693890721000964,)"
0.0,"(0.08634675273944296,)"
0.0,"(0.4584759653900889,)"
0.0,"(0.11664491352842264,)"
0.0,"(0.24186300050663487,)"
0.0,"(0.23397048955170727,)"
0.0,"(0.3531463431963938,)"
0.0,"(0.2402121169659224,)"
0.0,"(0.30439714971325416,)"
0.0,"(0.34405714799672543,)"
0.0,"(0.4506201952176532,)"
0.0,"(0.24174165292674824,)"
0.0,"(-0.04355378988562957,)"
0.0,"(0.4361229754387859,)"
0.0,"(-0.24929106246228722,)"
0.0,"(0.3328637265949393,)"
0.0,"(0.31785697462320256,)"
0.0,"(0.3208098792434789,)"
0.0,"(0.03619909687543209,)"
0.0,"(0.31122718270667554,)"
0.0,"(0.3144963634780053,)"
0.0,"(0.27937425036584945,)"
0.0,"(0.25688273801798694,)"
0.0,"(0.2431477477006213,)"
0.0,"(0.14109883389027567,)"
0.0,"(-0.19106424308911085,)"
0.0,"(0.34113798920559585,)"
0.0,"(-0.12388863571179458,)"
0.0,"(-0.27442389702266745,)"
0.0,"(0.26616058523680874,)"
0.0,"(0.3283880493473549,)"
0.0,"(0.3254101281769815,)"
0.0,"(0.24296200227264747,)"
0.0,"(0.16496877758096848,)"
0.0,"(0.10102940436309375,)"
0.0,"(0.40113376919211474,)"
0.0,"(0.5855962918270489,)"
0.0,"(0.27858021614427114,)"
0.0,"(0.0555207404013586,)"
0.0,"(0.1983910091661833,)"
0.0,"(0.2334289034771881,)"
0.0,"(0.07530603649704971,)"
0.0,"(0.25349785949057474,)"
0.0,"(0.08065629750611943,)"
0.0,"(0.3220916409264561,)"
0.0,"(0.3298680315943994,)"
0.0,"(0.2641117031797696,)"
0.0,"(-0.0052132375198534605,)"
0.0,"(0.28176528390588906,)"
0.0,"(-0.22614938851283234,)"
0.0,"(0.4010767560034227,)"
0.0,"(0.553096263501219,)"
0.0,"(-0.03754889345470326,)"
0.0,"(0.4634013913296153,)"
0.0,"(0.2681880185068149,)"
0.0,"(0.24452632971713972,)"
0.0,"(-0.21793335706153444,)"
0.0,"(-0.26836217801276424,)"
0.0,"(0.29957620999450396,)"
0.0,"(0.34123462663188747,)"
0.0,"(-0.26126621395067673,)"
0.0,"(0.29196759683571716,)"
0.0,"(0.298000497474982,)"
0.0,"(0.6460706305626789,)"
0.0,"(0.18872953867260414,)"
0.0,"(0.15473011240077528,)"
0.0,"(0.19523101607734117,)"
0.0,"(0.09524770095089677,)"
0.0,"(0.3408338867918331,)"
0.0,"(-0.2802369681330577,)"
0.0,"(0.334195915914363,)"
0.0,"(0.173976734209398,)"
0.0,"(0.17917523150313736,)"
0.0,"(0.04880881924119676,)"
0.0,"(0.3985496506946852,)"
0.0,"(0.5989808571604814,)"
0.0,"(0.3076011986239703,)"
0.0,"(0.05329239921091879,)"
0.0,"(0.1881629772326236,)"
0.0,"(-0.23340157371151046,)"
0.0,"(0.3207704572048622,)"
0.0,"(0.10674316661399569,)"
0.0,"(0.3100287107555744,)"
0.0,"(0.3263465412651307,)"
0.0,"(0.4903021301763276,)"
0.0,"(0.10933768050121367,)"
0.0,"(0.2724304825072381,)"
0.0,"(0.1980770332736031,)"
0.0,"(0.06897385429658937,)"
0.0,"(0.3160514299440982,)"
0.0,"(0.24511871236501873,)"
0.0,"(-0.056262912438288744,)"
0.0,"(0.12159533611830732,)"
0.0,"(0.5160010081968152,)"
0.0,"(0.6002343732757023,)"
0.0,"(-0.05661573051703965,)"
0.0,"(0.3340357490967398,)"
0.0,"(0.29647177249006945,)"
0.0,"(0.2961985973815243,)"
0.0,"(0.340307966046885,)"
0.0,"(-0.07120676359513921,)"
0.0,"(0.23665115086915295,)"
0.0,"(0.24401300814120297,)"
0.0,"(-0.0658668185309601,)"
0.0,"(0.20824171981368408,)"
0.0,"(0.29639323277343754,)"
0.0,"(-0.2308080562219648,)"
0.0,"(0.40694020456879565,)"
0.0,"(-0.42404840318532055,)"
0.0,"(0.31790560812128155,)"
0.0,"(0.21834396921165025,)"
0.0,"(0.32101299138945094,)"
0.0,"(0.19547422396036998,)"
0.0,"(0.03363756555683058,)"
0.0,"(0.26524065164767685,)"
0.0,"(-0.2205736804268092,)"
0.0,"(0.278713161851342,)"
0.0,"(-0.25471704689369445,)"
0.0,"(0.2963625748407579,)"
0.0,"(0.4883764327513486,)"
0.0,"(0.24983471117109884,)"
0.0,"(0.033027104196559805,)"
0.0,"(0.19814595993295983,)"
0.0,"(-0.1975051864158817,)"
0.0,"(0.24192272729242784,)"
0.0,"(0.3882799225730895,)"
0.0,"(-0.1701842022762815,)"
0.0,"(0.4687026879528489,)"
0.0,"(0.0005913773797972136,)"
0.0,"(0.12651295543639365,)"
0.0,"(0.21568166321967394,)"
0.0,"(0.31309564371245835,)"
0.0,"(-0.30025035244318105,)"
0.0,"(0.13998474467599348,)"
0.0,"(0.335282262011091,)"
0.0,"(0.38902950150508014,)"
0.0,"(0.28818190631065793,)"
0.0,"(-0.07108786044588167,)"
0.0,"(0.5747337869612906,)"
0.0,"(0.2956408501927645,)"
0.0,"(0.10285502378346202,)"
0.0,"(0.2618231130277426,)"
0.0,"(0.0953851923675483,)"
0.0,"(0.27466829539731774,)"
0.0,"(0.2419421031799893,)"
0.0,"(0.5636067184603748,)"
0.0,"(-0.01307367370818797,)"
0.0,"(0.28757590891105916,)"
0.0,"(0.23370566969339454,)"
0.0,"(0.47564475307960014,)"
0.0,"(0.2744110691274858,)"
0.0,"(-0.29785044217209095,)"
0.0,"(0.2756827725948757,)"
0.0,"(0.4029324101427605,)"
0.0,"(0.4798591428087336,)"
0.0,"(0.05296719562450499,)"
0.0,"(0.36004060127936255,)"
0.0,"(0.1867641688477586,)"
0.0,"(0.24540839666419456,)"
0.0,"(0.4196192759390485,)"
0.0,"(-0.022404941656059125,)"
0.0,"(0.2550017354262166,)"
0.0,"(0.268417861160692,)"
0.0,"(0.2836555055814514,)"
0.0,"(0.032547387728692666,)"
0.0,"(0.2379298563333167,)"
0.0,"(0.35357261554337094,)"
0.0,"(0.36826767740139227,)"
0.0,"(-0.005568874634647277,)"
0.0,"(0.28470109496373175,)"
0.0,"(-0.1838797828685367,)"
0.0,"(0.43257399970907645,)"
0.0,"(0.2747691443379108,)"
0.0,"(0.3250914410927307,)"
0.0,"(0.2780518218992575,)"
0.0,"(0.2356915634190979,)"
0.0,"(0.28889979511904507,)"
0.0,"(0.23568028047215311,)"
0.0,"(-0.02721693819192327,)"
0.0,"(0.23724422797022726,)"
0.0,"(0.3361533746321211,)"
0.0,"(0.40356836629208653,)"
0.0,"(0.34907152752749004,)"
0.0,"(0.09976895223593911,)"
0.0,"(0.30515668735284185,)"
0.0,"(0.23572275122049402,)"
0.0,"(0.14806983031120788,)"
0.0,"(0.16592385810309987,)"
0.0,"(0.22120580683061059,)"
0.0,"(-0.007661499124906192,)"
0.0,"(0.3835898150456379,)"
0.0,"(-0.01023085813624231,)"
0.0,"(-0.2556250574925996,)"
0.0,"(0.38226801753355977,)"
0.0,"(0.21878533610344986,)"
