corruption_levels,cross_margin
0.0,"(0.14899733009008578,)"
0.0,"(0.26972749243294747,)"
0.0,"(0.19965297099312818,)"
0.0,"(0.3467290018210783,)"
0.0,"(0.4440562004653671,)"
0.0,"(0.41918000657276416,)"
0.0,"(-0.09067732896742974,)"
0.0,"(0.003189921549981269,)"
0.0,"(0.2598019510126469,)"
0.0,"(0.13744310522233377,)"
0.0,"(0.45281214555388105,)"
0.0,"(0.14988202172208054,)"
0.0,"(0.25322328774395025,)"
0.0,"(0.1796533123740769,)"
0.0,"(0.2825686123240263,)"
0.0,"(0.47480425612025723,)"
0.0,"(-0.3583876668696954,)"
0.0,"(0.3382170054824448,)"
0.0,"(0.1972941601627955,)"
0.0,"(0.46324166502165365,)"
0.0,"(-0.18403814745718294,)"
0.0,"(0.33676698090369794,)"
0.0,"(0.4100770475905045,)"
0.0,"(0.3780477244213576,)"
0.0,"(0.4334367633066102,)"
0.0,"(0.02453616285385041,)"
0.0,"(0.27909015967667955,)"
0.0,"(0.4018416253628199,)"
0.0,"(0.18724069155408274,)"
0.0,"(0.22984203184052227,)"
0.0,"(0.24434264385762494,)"
0.0,"(-0.1343394656133483,)"
0.0,"(0.028804327954371146,)"
0.0,"(0.405852514990614,)"
0.0,"(0.30029892252253365,)"
0.0,"(0.24420686875330233,)"
0.0,"(0.5030575064391725,)"
0.0,"(-0.21314721117165025,)"
0.0,"(-0.1931948139208351,)"
0.0,"(0.31692165751983253,)"
0.0,"(0.4496974308156985,)"
0.0,"(-0.01093963780011693,)"
0.0,"(0.5233496093009797,)"
0.0,"(0.3662285352903772,)"
0.0,"(0.1484266414074194,)"
0.0,"(0.11053701125959882,)"
0.0,"(0.2442069235687078,)"
0.0,"(0.26692914320634886,)"
0.0,"(0.031617685218492265,)"
0.0,"(0.6168156885225251,)"
0.0,"(0.46649831387186713,)"
0.0,"(-0.18034849066091532,)"
0.0,"(0.4560658855765411,)"
0.0,"(0.19342374203556473,)"
0.0,"(0.36107801426850517,)"
0.0,"(0.389696763593742,)"
0.0,"(-0.19662123095280334,)"
0.0,"(0.3852708261875152,)"
0.0,"(-0.0929305420748693,)"
0.0,"(-0.03747019086122131,)"
0.0,"(0.45786949838749413,)"
0.0,"(-0.06192513084484082,)"
0.0,"(-0.25885095043475853,)"
0.0,"(-0.27177413781128185,)"
0.0,"(0.19869286944160192,)"
0.0,"(-0.24202562069014436,)"
0.0,"(0.45058262319366543,)"
0.0,"(0.45187756503846876,)"
0.0,"(0.20385771533418254,)"
0.0,"(0.18265229656594337,)"
0.0,"(0.3960076075720361,)"
0.0,"(0.23696801496117825,)"
0.0,"(0.29341485821119284,)"
0.0,"(0.4158541491982288,)"
0.0,"(0.4157460448465775,)"
0.0,"(-0.004133577852446622,)"
0.0,"(0.4125318096731236,)"
0.0,"(0.2893545952973865,)"
0.0,"(0.46723391779433676,)"
0.0,"(0.17635384600838605,)"
0.0,"(0.26558565772375636,)"
0.0,"(0.005899657317529001,)"
0.0,"(0.22686357869865773,)"
0.0,"(0.4414722702957692,)"
0.0,"(0.4413025688241694,)"
0.0,"(0.24096031612488925,)"
0.0,"(0.38556659624067885,)"
0.0,"(0.29574621894320563,)"
0.0,"(0.2999648728551258,)"
0.0,"(0.3784468747662269,)"
0.0,"(0.21122894545671567,)"
0.0,"(0.2140706413180022,)"
0.0,"(0.24420377879671212,)"
0.0,"(0.24427326337935404,)"
0.0,"(0.4688717085662589,)"
0.0,"(-0.14572610380313017,)"
0.0,"(-0.009079115231848603,)"
0.0,"(0.2673487250496546,)"
0.0,"(0.3142801491189842,)"
0.0,"(0.16735637496898018,)"
0.0,"(0.3218539064918247,)"
0.0,"(-0.30531685373576994,)"
0.0,"(0.13693540883040659,)"
0.0,"(0.13086493855714373,)"
0.0,"(0.3664550274662574,)"
0.0,"(0.14709758988055946,)"
0.0,"(-0.1714839374633979,)"
0.0,"(0.27251015569983117,)"
0.0,"(0.42391167518921546,)"
0.0,"(0.42516932331038215,)"
0.0,"(0.09701795669749151,)"
0.0,"(-0.21652463815885709,)"
0.0,"(0.20785887994951502,)"
0.0,"(0.09576372952655135,)"
0.0,"(0.02007604807531464,)"
0.0,"(0.20012748390001225,)"
0.0,"(0.03191785288484634,)"
0.0,"(0.40135506527419146,)"
0.0,"(0.43998598568343694,)"
0.0,"(-0.06095853316611462,)"
0.0,"(0.4493988173256576,)"
0.0,"(0.4672713597667676,)"
0.0,"(0.4084962807614706,)"
0.0,"(0.4046842524949684,)"
0.0,"(0.2962570750868548,)"
0.0,"(0.04891727995277061,)"
0.0,"(-0.11967914238812717,)"
0.0,"(0.04670030335896266,)"
0.0,"(0.36399844745139326,)"
0.0,"(0.3171642815333805,)"
0.0,"(0.4311981309929959,)"
0.0,"(-0.3702828381681526,)"
0.0,"(0.19003459518173582,)"
0.0,"(0.298198870622013,)"
0.0,"(0.3362915792569318,)"
0.0,"(0.4368331636242017,)"
0.0,"(0.41726754969654195,)"
0.0,"(-0.14695217916404973,)"
0.0,"(0.10744751872647006,)"
0.0,"(0.30517201566719454,)"
0.0,"(0.34247585721022444,)"
0.0,"(-0.09010895837077018,)"
0.0,"(-0.14180111526958886,)"
0.0,"(0.4567761925505973,)"
0.0,"(0.2783519721977624,)"
0.0,"(0.3108506414528747,)"
0.0,"(0.044920951915877146,)"
0.0,"(0.2556497880766986,)"
0.0,"(-0.17007166164265008,)"
0.0,"(0.14981923629281546,)"
0.0,"(0.3165060743933499,)"
0.0,"(0.2442810024077708,)"
0.0,"(-0.02665034921129781,)"
0.0,"(0.23049806444237728,)"
0.0,"(0.38465955865247775,)"
0.0,"(0.4328098711616231,)"
0.0,"(0.4453797049941878,)"
0.0,"(-0.4883519388509778,)"
0.0,"(0.5812367473222858,)"
0.0,"(0.43669576342751026,)"
0.0,"(0.22830522586603086,)"
0.0,"(0.33086462944909417,)"
0.0,"(0.09725521394949979,)"
0.0,"(0.2684321696501394,)"
0.0,"(0.26903450972195747,)"
0.0,"(0.009664734992098233,)"
0.0,"(0.023554280230917757,)"
0.0,"(0.14815538785503957,)"
0.0,"(-0.2243794295416759,)"
0.0,"(-0.04128886774340325,)"
0.0,"(0.20451725488544373,)"
0.0,"(-0.3853207403796557,)"
0.0,"(0.34221755006385457,)"
0.0,"(0.15993649166229212,)"
0.0,"(0.20859861962653337,)"
0.0,"(0.5073884296065546,)"
0.0,"(0.3685475589120004,)"
0.0,"(0.2803991451158569,)"
0.0,"(0.30779097984036474,)"
0.0,"(0.3018105291219072,)"
0.0,"(-0.2974509311344392,)"
0.0,"(0.13298884050930554,)"
0.0,"(0.30745808629268023,)"
0.0,"(0.0035310975890626697,)"
0.0,"(0.3424978602569504,)"
0.0,"(0.5394283841093553,)"
0.0,"(-0.2558374111751584,)"
0.0,"(0.36354121666389355,)"
0.0,"(0.26650995186058385,)"
0.0,"(0.13956014589998508,)"
0.0,"(0.1910606180723658,)"
0.0,"(-0.1375833373376243,)"
0.0,"(0.45710360239682196,)"
0.0,"(-0.005260035555591981,)"
0.0,"(0.18541622031461982,)"
0.0,"(0.12997585778144807,)"
0.0,"(0.04040836159090769,)"
0.0,"(0.20402440311070844,)"
0.0,"(0.26941473727213255,)"
0.0,"(0.42972567397936307,)"
0.0,"(0.40435655567776807,)"
0.0,"(0.46724428134199103,)"
0.0,"(-0.03415656665471933,)"
0.0,"(-0.16621645915300048,)"
0.0,"(-0.05937388718594159,)"
0.0,"(-0.018132284268614948,)"
0.0,"(-0.45788779657756623,)"
0.0,"(0.2084002028007504,)"
0.0,"(0.25335160182243227,)"
0.0,"(0.13270824659511746,)"
0.0,"(0.20210774774059667,)"
0.0,"(0.3930829799954543,)"
0.0,"(0.4387579600475589,)"
0.0,"(0.2124108719412586,)"
0.0,"(0.42444858020107573,)"
0.0,"(0.3542306264360278,)"
0.0,"(0.3268979638239684,)"
0.0,"(-0.0060936189494115185,)"
0.0,"(0.24427326958428083,)"
0.0,"(0.2186869248777252,)"
0.0,"(0.008864668878006961,)"
0.0,"(0.2920977816800276,)"
0.0,"(0.30891025919700094,)"
0.0,"(0.2723388058837439,)"
0.0,"(0.08834732400001123,)"
0.0,"(0.28126159736652884,)"
0.0,"(0.4090716257508466,)"
0.0,"(0.1767715072278325,)"
0.0,"(0.08581755634225367,)"
0.0,"(0.4229844459321745,)"
