"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"53","172.45557287092345","16.568713606587696","0.0516357421875","0.055419921875","0.0478515625","1560","0.0002187858689517278","24","0.0002187858689517278","0","0.0002187858689517278","0.0002187858689517278","39:68;52:68;54:68","39:0.008062883531106069;52:0.0031935378964996763;54:0.004257469468936487","39:0.00483339315588735;52:0.002377849163721024;54:0.0031556751695362983","0.0516357421875","Yes"
"54","161.34166332869532","177.01427369767842","0.0096435546875","0.00927734375","0.010009765625","1560","0.0006502702016643606","24","0.0006502702016643606","0","0.0006502702016643606","0.0006502702016643606","53:68;55:68","53:0.004257469468936487;55:0.002454222007043455","53:0.0031556751695362983;55:0.004159290634274532","0.0096435546875","Yes"
"55","177.38676001109835","176.14564397799202","0.053466796875","0.0595703125","0.04736328125","1560","0.0003799528197934189","24","0.0003799528197934189","0","0.0003799528197934189","0.0003799528197934189","59:68;54:68","59:0.0021762007466633593;54:0.002454222007043455","59:0.002306840727617443;54:0.004159290634274532","0.053466796875","Yes"
"56","206.20823721602434","215.49099047132518","0.0107421875","0.010986328125","0.010498046875","1560","0.0005483618290535377","24","0.0005483618290535377","0","0.0005483618290535377","0.0005483618290535377","63:68;43:68","63:0.004502362531988213;43:0.003246798004713225","63:0.004942738011868952;43:0.007218127378565337","0.0107421875","Yes"
"57","84.87923935126473","59.63026044107448","0.0108642578125","0.01708984375","0.004638671875","1560","0.0007840388702415114","24","0.0007840388702415114","0","0.0007840388702415114","0.0007840388702415114","47:68;67:68","47:0.026845165641916108;67:0.043728801827912916","47:0.0036661220083920587;67:0.010899554676538109","0.0108642578125","Yes"
"58","127.97550278320976","120.60655115632572","0.00830078125","0.01171875","0.0048828125","1560","0.00033149126985470846","24","0.00033149126985470846","0","0.00033149126985470846","0.00033149126985470846","71:68;51:68","71:0.0019157581899019172;51:0.00435736942192555","71:0.0020657922978497;51:0.001933296470051582","0.00830078125","Yes"
"59","161.5296493162714","158.43696441389434","0.0145263671875","0.021728515625","0.00732421875","1560","0.000499868006167451","24","0.000499868006167451","0","0.000499868006167451","0.000499868006167451","55:68;75:68","55:0.0021762007466633593;75:0.002670049353172721","55:0.002306840727617443;75:0.002477926208760861","0.0145263671875","Yes"
"60","185.81949132165082","60.476066605871104","0.049560546875","0.05517578125","0.0439453125","1560","0.0003271698201921683","24","0.0003271698201921683","0","0.0003271698201921683","0.0003271698201921683","61:68","61:0.0020498285791179516","61:0.0015193960258337025","0.049560546875","Yes"
"61","200.1839309054246","105.94890760949855","0.06640625","0.07080078125","0.06005859375","1560","0.0001764578395745047","24","0.0001764578395745047","0","0.0001764578395745047","0.0001764578395745047","76:68;60:68;62:68","76:0.0027228253482822484;60:0.0020498285791179516;62:0.0022587484244253053","76:0.004251405829067273;60:0.0015193960258337025;62:0.003284766481909507","0.06640625","Yes"
"62","177.58430835409902","50.78268921794837","0.028076171875","0.0322265625","0.02392578125","1560","0.0002907861228721439","24","0.0002907861228721439","0","0.0002907861228721439","0.0002907861228721439","61:68;63:68","61:0.0022587484244253053;63:0.006140667875812661","61:0.003284766481909507;63:0.007549615643365565","0.028076171875","Yes"
"63","155.51670094335026","20.823855422388686","0.0477294921875","0.046630859375","0.048828125","1560","0.0006076648829500678","24","0.0006076648829500678","0","0.0006076648829500678","0.0006076648829500678","56:68;62:68;64:68","56:0.004502362531988213;62:0.006140667875812661;64:0.05414787739422605","56:0.004942738011868952;62:0.007549615643365565;64:0.05390458063396744","0.0477294921875","Yes"
"64","137.5384946221915","116.59642822750227","0.0057373046875","0.009033203125","0.00244140625","1560","0.0003012482171673568","24","0.0003012482171673568","0","0.0003012482171673568","0.0003012482171673568","65:68;63:68","65:0.002527824206485646;63:0.05414787739422605","65:0.0026286348753874755;63:0.05390458063396744","0.0057373046875","Yes"
"65","145.1936551612851","109.99309429734792","0.0931396484375","0.1376953125","0.048583984375","1560","0.0003072806286773531","24","0.0003072806286773531","0","0.0003072806286773531","0.0003072806286773531","64:68;66:68;77:68","64:0.002527824206485646;66:0.002209537864854755;77:0.004258793990884691","64:0.0026286348753874755;66:0.0020483554844359653;77:0.002714202855869513","0.0931396484375","Yes"
"66","33.04852436502269","14.046379711979766","0.0098876953125","0.01123046875","0.008544921875","1560","0.00021258424675208728","24","0.00021258424675208728","0","0.00021258424675208728","0.00021258424675208728","65:68;67:68","65:0.002209537864854755;67:0.0030678281937292218","65:0.0020483554844359653;67:0.002642690825616717","0.0098876953125","Yes"
"67","160.2790133054858","53.232520876421795","0.047607421875","0.048583984375","0.046630859375","1560","0.0002593196821207389","24","0.0002593196821207389","0","0.0002593196821207389","0.0002593196821207389","68:68;57:68;66:68","68:0.002619068329632407;57:0.043728801827912916;66:0.0030678281937292218","68:0.002641555131997486;57:0.010899554676538109;66:0.002642690825616717","0.047607421875","Yes"
"68","141.39473541256527","106.2724425627709","0.012451171875","0.014892578125","0.010009765625","1560","0.0003109007595411393","24","0.0003109007595411393","0","0.0003109007595411393","0.0003109007595411393","67:68;69:68","67:0.002619068329632407;69:0.002742836654341635","67:0.002641555131997486;69:0.004971337428502948","0.012451171875","Yes"
"69","131.34904974727402","67.92486770929068","0.049560546875","0.06787109375","0.03125","1560","0.00023675974366658655","24","0.00023675974366658655","0","0.00023675974366658655","0.00023675974366658655","78:68;68:68;70:68","78:0.002002557727072002;68:0.002742836654341635;70:0.004388965677678325","78:0.0017683547354369333;68:0.004971337428502948;70:0.0025675266253153695","0.049560546875","Yes"
"70","86.37406320933643","76.75734622625212","0.0084228515625","0.011962890625","0.0048828125","1560","0.0002598649010604884","24","0.0002598649010604884","0","0.0002598649010604884","0.0002598649010604884","69:68;71:68","69:0.004388965677678325;71:0.0031388147628607366","69:0.0025675266253153695;71:0.0024892774194790745","0.0084228515625","Yes"
"71","141.54413725821632","106.94339217331988","0.0115966796875","0.01513671875","0.008056640625","1560","0.0004017927947518591","24","0.0004017927947518591","0","0.0004017927947518591","0.0004017927947518591","72:68;58:68;70:68","58:0.0019157581899019172;70:0.0031388147628607366","58:0.0020657922978497;70:0.0024892774194790745","0.0115966796875","Yes"
"72","","","0.457763671875","0.724365234375","0.191162109375","1560","","24","","0","","","73:68;71:68","","","0.457763671875","Yes"
"73","177.28830716532707","73.32607911799379","0.0125732421875","0.015380859375","0.009765625","1560","0.0002830974301095741","24","0.0002830974301095741","0","0.0002830974301095741","0.0002830974301095741","72:68;74:68;79:68","74:0.0024391657253092502;79:0.0021141249121839067","74:0.002310473343796221;79:0.0020526380154951562","0.0125732421875","Yes"
"74","77.18280914394226","44.20175097250087","0.005859375","0.00634765625","0.00537109375","1560","0.0003890148193066614","24","0.0003890148193066614","0","0.0003890148193066614","0.0003890148193066614","73:68;75:68","73:0.0024391657253092502;75:0.0023521374867400135","73:0.002310473343796221;75:0.0017290702517609446","0.005859375","Yes"
"75","186.73649542691254","120.64758873111064","0.0069580078125","0.0087890625","0.005126953125","1560","0.0003886822689693951","24","0.0003886822689693951","0","0.0003886822689693951","0.0003886822689693951","59:68;74:68","59:0.002670049353172721;74:0.0023521374867400135","59:0.002477926208760861;74:0.0017290702517609446","0.0069580078125","Yes"
"76","90.9198130342762","66.73789001387787","0.0372314453125","0.054443359375","0.02001953125","1560","0.0004971244990931901","24","0.0004971244990931901","0","0.0004971244990931901","0.0004971244990931901","81:68;61:68","81:0.0018151271239856548;61:0.0027228253482822484","81:0.0028696523800171014;61:0.004251405829067273","0.0372314453125","Yes"
"77","123.70523598900958","38.47142006642491","0.014892578125","0.01953125","0.01025390625","1560","0.0003196642070282506","24","0.0003196642070282506","0","0.0003196642070282506","0.0003196642070282506","85:68;65:68","85:0.004285887074893552;65:0.004258793990884691","85:0.002495372861761491;65:0.002714202855869513","0.014892578125","Yes"
"78","108.0720384054064","94.13590245070786","0.025146484375","0.03076171875","0.024169921875","1560","0.0003120673227478252","24","0.0003120673227478252","0","0.0003120673227478252","0.0003120673227478252","69:68;89:68","69:0.002002557727072002;89:0.002721836935460742","69:0.0017683547354369333;89:0.0029374762194566417","0.025146484375","Yes"
"79","127.36744360838286","49.65102274534507","0.0098876953125","0.0126953125","0.007080078125","1560","0.0003486162162139252","24","0.0003486162162139252","0","0.0003486162162139252","0.0003486162162139252","93:68;73:68","93:0.0024377591421459732;73:0.0021141249121839067","93:0.0021275172491455607;73:0.0020526380154951562","0.0098876953125","Yes"
"80","185.0829177554975","83.42888721686747","0.0115966796875","0.013427734375","0.009765625","1560","0.00031154053857871707","24","0.00031154053857871707","0","0.00031154053857871707","0.00031154053857871707","81:68","81:0.002131725888607494","81:0.0028116672924897446","0.0115966796875","Yes"
"81","193.14022319011812","20.226990418017287","0.03857421875","0.03271484375","0.04443359375","1560","0.00016346961564768235","24","0.00016346961564768235","0","0.00016346961564768235","0.00016346961564768235","80:68;82:68;76:68","80:0.002131725888607494;82:0.010165854673408525;76:0.0018151271239856548","80:0.0028116672924897446;82:0.002278756403192167;76:0.0028696523800171014","0.03857421875","Yes"
"82","155.4529569881756","32.6834567353383","0.0135498046875","0.013427734375","0.013671875","1560","0.00044131714786305637","24","0.00044131714786305637","0","0.00044131714786305637","0.00044131714786305637","81:68;83:68","81:0.010165854673408525;83:0.006141924877476501","81:0.002278756403192167;83:0.007886752425675186","0.0135498046875","Yes"
"83","213.16277274012947","65.12570225634012","0.2098388671875","0.19873046875","0.220947265625","1560","0.0002459991719881576","24","0.0002459991719881576","0","0.0002459991719881576","0.0002459991719881576","96:68;82:68;84:68","96:0.0023105639536364353;82:0.006141924877476501;84:0.0029676964560925168","96:0.0027586392445248797;82:0.007886752425675186;84:0.0028478555233306113","0.2098388671875","Yes"
